Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.8733333333333333,0.88
Error Rate,0.1266666666666667,0.12
Precision,0.8878206153078961,0.8929532045342065
Recall,0.8733333333333334,0.8799999999999999
F1 Score,0.8561697659736875,0.8656739038330511
