Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.99,0.88
Error Rate,0.010000000000000009,0.12
Precision,0.9901960784313726,0.8929532045342065
Recall,0.9899999999999999,0.8799999999999999
F1 Score,0.9899646427227756,0.8656739038330511
