Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.8514285714285714,0.7828571428571428
Error Rate,0.14857142857142858,0.2171428571428572
Precision,0.8499562032170729,0.7983172741237258
Recall,0.8525985754803489,0.7875852472650503
F1 Score,0.8494075144330898,0.7837677067419382
