Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.84,0.7828571428571428
Error Rate,0.16000000000000003,0.2171428571428572
Precision,0.8460204421598724,0.7983172741237258
Recall,0.8428734565926685,0.7875852472650503
F1 Score,0.8390535459466806,0.7837677067419382
