Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.9180327868852459,0.7540983606557377
Error Rate,0.08196721311475408,0.24590163934426235
Precision,0.9188453159041394,0.755
Recall,0.9161255411255411,0.7483766233766234
F1 Score,0.9172320217096337,0.7497949138638228
