Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.8666666666666667,0.8666666666666667
Error Rate,0.1333333333333333,0.1333333333333333
Precision,0.8212121212121212,0.8212121212121212
Recall,0.8041666666666666,0.8041666666666666
F1 Score,0.8069875776397515,0.8069875776397515
