Metric,DTW 1NN,Euclidean 1NN,New DTW 1NN
Accuracy,0.54,0.64,0.62
Error Rate,0.45999999999999996,0.36,0.38
Precision,0.5350564468211527,0.663095238095238,0.6273809523809524
Recall,0.5178571428571428,0.6904761904761904,0.6488095238095237
F1 Score,0.5172697368421052,0.6653745644599304,0.6368489234342892
