Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.5444444444444444,0.5388888888888889
Error Rate,0.4555555555555556,0.46111111111111114
Precision,0.5446428571428572,0.5390092879256966
Recall,0.5444444444444444,0.5388888888888889
F1 Score,0.5439377085650723,0.5385328185328185
