Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.9333333333333333,0.9133333333333333
Error Rate,0.06666666666666665,0.08666666666666667
Precision,0.9333214793741109,0.9138053727094823
Recall,0.9333214793741109,0.9135846372688479
F1 Score,0.9333214793741109,0.9133294813102805
