Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.92,0.9133333333333333
Error Rate,0.07999999999999996,0.08666666666666667
Precision,0.920940170940171,0.9138053727094823
Recall,0.9203413940256046,0.9135846372688479
F1 Score,0.9199857752489331,0.9133294813102805
