Metric,DTW 1NN,Euclidean 1NN,New DTW 1NN
Accuracy,0.92,0.9133333333333333,0.9466666666666667
Error Rate,0.07999999999999996,0.08666666666666667,0.053333333333333344
Precision,0.9201635846372689,0.9138053727094823,0.9466571834992887
Recall,0.9201635846372689,0.9135846372688479,0.9466571834992887
F1 Score,0.92,0.9133294813102805,0.9466571834992887
