Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.8666666666666667,0.9133333333333333
Error Rate,0.1333333333333333,0.08666666666666667
Precision,0.8757267441860466,0.9138053727094823
Recall,0.8677098150782361,0.9135846372688479
F1 Score,0.8660714285714286,0.9133294813102805
