Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.89,0.88
Error Rate,0.10999999999999999,0.12
Precision,0.8774695250105087,0.8734402852049911
Recall,0.8897569444444444,0.8637152777777778
F1 Score,0.8826666666666667,0.8681318681318682
