Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.84,0.88
Error Rate,0.16000000000000003,0.12
Precision,0.8380952380952381,0.8734402852049911
Recall,0.8081597222222222,0.8637152777777778
F1 Score,0.8190863862505653,0.8681318681318682
