Metric,DTW 1NN,Euclidean 1NN,New DTW 1NN
Accuracy,0.88,0.88,0.89
Error Rate,0.12,0.12,0.10999999999999999
Precision,0.8734402852049911,0.8734402852049911,0.8824175824175824
Recall,0.8637152777777778,0.8637152777777778,0.8776041666666667
F1 Score,0.8681318681318682,0.8681318681318682,0.879899552352877
