Metric,DTW 1NN,Euclidean 1NN
Accuracy,0.9,0.88
Error Rate,0.09999999999999998,0.12
Precision,0.8957219251336899,0.8734402852049911
Recall,0.8854166666666667,0.8637152777777778
F1 Score,0.8901098901098901,0.8681318681318682
